romeLibelle,nb_offres
Data engineer,120
Data analyst,64
Data scientist,48
Analyste décisionnel - Business Intelligence,12
Développeur / Développeuse décisionnel - Business Intelligence,9
Consultant décisionnel / Consultante décisionnelle - Business Intelligence,6
Architecte base de données,4
Analyste de la performance sportive,4
Conducteur / Conductrice de poids lourd,3
Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,2
Analyste SOC (Security Operations Center),2
Expert / Experte systèmes et réseaux informatiques,2
Chargé / Chargée d'études socio-économiques,2
Conseiller commercial / Conseillère commerciale auprès des particuliers,1
Chief digital officer - Responsable de la transformation digitale,1
Analyste d'étude informatique,1
Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA),1
Monteur installateur / Monteuse installatrice d'équipements connectés,1
Assistant commercial / Assistante commerciale,1
Technicien / Technicienne de maintenance d'installations automatisées,1
Responsable comptabilité,1
Mécanicien / Mécanicienne avion,1
Ingénieur / Ingénieure en Intelligence Artificielle (IA),1
Cadre de santé d'unité de soins ou de service paramédical,1
Ingénieur / Ingénieure systèmes et réseaux informatiques,1
Responsable des systèmes d'information (SI),1
Yield manager,1
Ingénieur statisticien / Ingénieure statisticienne,1
Professeur / Professeure des universités,1
Contrôleur / Contrôleuse de gestion,1
Chef / Cheffe d'équipe en industrie,1
Documentaliste,1
Scrum Master,1
Chargé / Chargée de méthodes BTP,1
